Nome,Caminho,Pasta,Extensao,Largura,Altura,Proporcao,Orientacao,Tamanho_MB,Perfil_Cor,Resolucao_Web,Uso_Desktop,Uso_Mobile,Exact_Hash,Perceptual_Hash
"CHEFE-JUNDU-ITAGUA.jpg","JUNDU-ITAGUA/CHEFE-JUNDU-ITAGUA.jpg","JUNDU-ITAGUA",".jpg",1536,1920,0.80,"Vertical",0.89,"Não","Suficiente","Sim","Sim","68493a0f309d99c25bd86cf7af118b57","868620585c2634a5"
"Jundu Restaurante Lounge Bar.jpg","JUNDU-ITAGUA/Jundu Restaurante Lounge Bar.jpg","JUNDU-ITAGUA",".jpg",1432,1909,0.75,"Vertical",1.00,"Não","Insuficiente","Não","Sim","2659cfed745021e92e479f51d06ce086","8e38d01367370713"
"Jundu Restaurante Lounge Bar2.jpg","JUNDU-ITAGUA/Jundu Restaurante Lounge Bar2.jpg","JUNDU-ITAGUA",".jpg",1440,1780,0.81,"Vertical",0.72,"Sim","Insuficiente","Sim","Sim","c6f1c1ff7fa4631fdcba3050547faa20","7b5bc6d1e4663413"
"StorySaver.to_565005925_18302270722301970_3047857334222816320_n.jpg","JUNDU-ITAGUA/StorySaver.to_565005925_18302270722301970_3047857334222816320_n.jpg","JUNDU-ITAGUA",".jpg",1440,1800,0.80,"Vertical",0.62,"Não","Insuficiente","Sim","Sim","c630b5797a6232461314b556d4bf9ff0","b71f37333387191b"
"StorySaver.to_571135459_18300371842301970_5547221688464787617_n.jpg","JUNDU-ITAGUA/StorySaver.to_571135459_18300371842301970_5547221688464787617_n.jpg","JUNDU-ITAGUA",".jpg",1440,960,1.50,"Horizontal",0.41,"Sim","Insuficiente","Sim","Sim","8df6f196b1faa3bd8d7714f9040125da","d47d26437317585"
"StorySaver.to_571563808_18301170853301970_8651518415461446560_n.jpg","JUNDU-ITAGUA/StorySaver.to_571563808_18301170853301970_8651518415461446560_n.jpg","JUNDU-ITAGUA",".jpg",917,652,1.41,"Horizontal",0.21,"Não","Insuficiente","Não","Não","b626789b0b91bfbe01674e5243e74d1a","8c3c2c2e0ee56bc6"
"StorySaver.to_572374599_18300371851301970_4914513641572402329_n.jpg","JUNDU-ITAGUA/StorySaver.to_572374599_18300371851301970_4914513641572402329_n.jpg","JUNDU-ITAGUA",".jpg",1440,960,1.50,"Horizontal",0.50,"Sim","Insuficiente","Sim","Sim","a2134bd77f934ae9bb6209e18174da33","5626234b4a5e4347"
"StorySaver.to_572383580_18301170862301970_2162424385363115267_n.jpg","JUNDU-ITAGUA/StorySaver.to_572383580_18301170862301970_2162424385363115267_n.jpg","JUNDU-ITAGUA",".jpg",917,652,1.41,"Horizontal",0.19,"Não","Insuficiente","Não","Não","338f029361999b3f43c0bcfa17ab1e4c","c9a9a323620ac9d8"
"StorySaver.to_575679647_18302270731301970_6429894878469752336_n.jpg","JUNDU-ITAGUA/StorySaver.to_575679647_18302270731301970_6429894878469752336_n.jpg","JUNDU-ITAGUA",".jpg",1440,1800,0.80,"Vertical",0.61,"Não","Insuficiente","Sim","Sim","d213d6e1880708c30cca7fa4ba91f4cd","4fdbb2911c15cf3f"
"StorySaver.to_590415053_18306854977301970_6408813093390048817_n.jpg","JUNDU-ITAGUA/StorySaver.to_590415053_18306854977301970_6408813093390048817_n.jpg","JUNDU-ITAGUA",".jpg",1440,1701,0.85,"Vertical",0.82,"Não","Insuficiente","Sim","Sim","72017712fbfc432d72df4e5abfdeef6f","4161632f2d563635"
"StorySaver.to_590420306_18306854959301970_8294363286535715143_n.jpg","JUNDU-ITAGUA/StorySaver.to_590420306_18306854959301970_8294363286535715143_n.jpg","JUNDU-ITAGUA",".jpg",1440,1704,0.85,"Vertical",0.86,"Não","Insuficiente","Sim","Sim","0830c6ce7004e793b8ef13a089658b2c","2c0f1f5ab9c41c38"
"StorySaver.to_609631304_18309252967301970_7532814709912776871_n.jpg","JUNDU-ITAGUA/StorySaver.to_609631304_18309252967301970_7532814709912776871_n.jpg","JUNDU-ITAGUA",".jpg",1290,1668,0.77,"Vertical",0.80,"Não","Insuficiente","Não","Sim","43356a9bab5b6df04d40bc1d20b635d1","31032e0cc627c7e7"
"StorySaver.to_609739436_18309252982301970_5023432417182839626_n.jpg","JUNDU-ITAGUA/StorySaver.to_609739436_18309252982301970_5023432417182839626_n.jpg","JUNDU-ITAGUA",".jpg",1290,1668,0.77,"Vertical",0.79,"Não","Insuficiente","Não","Sim","0a0ad9422d251ad33b7c902fa06341f9","1d1e3e726e361e3"
